influencer_id,basis,rate,orders,total_revenue,payout_amount,gifted_products_cost,total_cost
HK001,post,"₹455,230/post",2145,3012455.67,455230.00,62340.12,517570.12
HK003,hybrid,"₹58,800/post + 6.8%",892,1156789.34,290062.20,48950.33,339012.53
HK007,post,"₹118,500/post",1234,2678901.23,592500.00,89123.45,681623.45
HK015,post,"₹48,900/post",567,856432.10,244500.00,31240.67,275740.67
HK008,hybrid,"₹95,000/post + 8.2%",1890,3456789.12,874567.89,123456.78,998024.67
HK012,order,14.5% commission,1456,2890123.45,419067.90,78945.12,498013.02
HK017,order,13.2% commission,2103,4567890.12,602801.10,156789.01,759590.11
HK020,post,"₹52,000/post",1789,2345678.90,312000.00,67890.12,379890.12
HK009,order,15.8% commission,678,1678901.23,265246.39,59823.45,325069.84
HK014,order,20.1% commission,2234,4123456.78,828414.61,145678.90,974093.51
